Service Operation,baseCRBQName,Service Domain,Role Definition
Request Trader Security Position Management and Analysis Function,TraderSecurityPositionManagementandAnalysis,Trader Position Operations,Role for Request Trader Security Position Management and Analysis Function service operation
Request Trader Trading Permissions and Limits Function,TraderTradingPermissionsandLimits,Trader Position Operations,Role for Request Trader Trading Permissions and Limits Function service operation
Retrieve Trade Capture and Reporting Function,TradeCaptureandReporting,Trader Position Operations,Role for Retrieve Trade Capture and Reporting Function service operation
Retrieve Trade Deal Blotter Function,TradeDealBlotter,Trader Position Operations,Role for Retrieve Trade Deal Blotter Function service operation
Retrieve Trade Quote and Pricing Function,TradeQuoteandPricing,Trader Position Operations,Role for Retrieve Trade Quote and Pricing Function service operation
Retrieve Trader Security Position Management and Analysis Function,TraderSecurityPositionManagementandAnalysis,Trader Position Operations,Role for Retrieve Trader Security Position Management and Analysis Function service operation
Retrieve Trader Trading Permissions and Limits Function,TraderTradingPermissionsandLimits,Trader Position Operations,Role for Retrieve Trader Trading Permissions and Limits Function service operation
Update Trade Capture and Reporting Function,TradeCaptureandReporting,Trader Position Operations,Role for Update Trade Capture and Reporting Function service operation
Update Trade Deal Blotter Function,TradeDealBlotter,Trader Position Operations,Role for Update Trade Deal Blotter Function service operation
Update Trade Quote and Pricing Function,TradeQuoteandPricing,Trader Position Operations,Role for Update Trade Quote and Pricing Function service operation
Update Trader Security Position Management and Analysis Function,TraderSecurityPositionManagementandAnalysis,Trader Position Operations,Role for Update Trader Security Position Management and Analysis Function service operation
Update Trader Trading Permissions and Limits Function,TraderTradingPermissionsandLimits,Trader Position Operations,Role for Update Trader Trading Permissions and Limits Function service operation
ExCR Execute an available automated action for Customer Case Root Cause Analysis,CustomerCaseRootCauseAnalysis,Case Root Cause Analysis,Role for Execute an available automated action for Customer Case Root Cause Analysis service operation
InCR Instantiate a new Customer Case Root Cause Analysis,CustomerCaseRootCauseAnalysis,Case Root Cause Analysis,Role for Instantiate a new Customer Case Root Cause Analysis service operation
ReCR Retrieve details about any aspect of Customer Case Root Cause Analysis,CustomerCaseRootCauseAnalysis,Case Root Cause Analysis,Role for Retrieve details about any aspect of Customer Case Root Cause Analysis service operation
RqCR Request manual intervention or a decision with respect to Customer Case Root Cause Analysis,CustomerCaseRootCauseAnalysis,Case Root Cause Analysis,Role for Request manual intervention or a decision with respect to Customer Case Root Cause Analysis service operation
UpCR Update details relating to Customer Case Root Cause Analysis,CustomerCaseRootCauseAnalysis,Case Root Cause Analysis,Role for Update details relating to Customer Case Root Cause Analysis service operation
ExBQ Execute an available automated action for Credit and Fraud Related Issue Analysis,CreditandFraudRelatedIssueAnalysis,Case Root Cause Analysis,Role for Execute an available automated action for Credit and Fraud Related Issue Analysis service operation
ExBQ Execute an available automated action for Operations and Servicing Issue Analysis,OperationsandServicingIssueAnalysis,Case Root Cause Analysis,Role for Execute an available automated action for Operations and Servicing Issue Analysis service operation
ExBQ Execute an available automated action for Product and Service issue Analysis,ProductandServiceIssueAnalysis,Case Root Cause Analysis,Role for Execute an available automated action for Product and Service issue Analysis service operation
InBQ Instantiate a new Credit and Fraud Related Issue Analysis,CreditandFraudRelatedIssueAnalysis,Case Root Cause Analysis,Role for Instantiate a new Credit and Fraud Related Issue Analysis service operation
InBQ Instantiate a new Operations and Servicing Issue Analysis,OperationsandServicingIssueAnalysis,Case Root Cause Analysis,Role for Instantiate a new Operations and Servicing Issue Analysis service operation
InBQ Instantiate a new Product and Service issue Analysis,ProductandServiceIssueAnalysis,Case Root Cause Analysis,Role for Instantiate a new Product and Service issue Analysis service operation
ReBQ Retrieve details about any aspect of Credit and Fraud Related Issue Analysis,CreditandFraudRelatedIssueAnalysis,Case Root Cause Analysis,Role for Retrieve details about any aspect of Credit and Fraud Related Issue Analysis service operation
ReBQ Retrieve details about any aspect of Operations and Servicing Issue Analysis,OperationsandServicingIssueAnalysis,Case Root Cause Analysis,Role for Retrieve details about any aspect of Operations and Servicing Issue Analysis service operation
ReBQ Retrieve details about any aspect of Product and Service issue Analysis,ProductandServiceIssueAnalysis,Case Root Cause Analysis,Role for Retrieve details about any aspect of Product and Service issue Analysis service operation
RqBQ Request manual intervention or a decision with respect to Credit and Fraud Related Issue Analysis,CreditandFraudRelatedIssueAnalysis,Case Root Cause Analysis,Role for Request manual intervention or a decision with respect to Credit and Fraud Related Issue Analysis service operation
RqBQ Request manual intervention or a decision with respect to Operations and Servicing Issue Analysis,OperationsandServicingIssueAnalysis,Case Root Cause Analysis,Role for Request manual intervention or a decision with respect to Operations and Servicing Issue Analysis service operation
RqBQ Request manual intervention or a decision with respect to Product and Service issue Analysis,ProductandServiceIssueAnalysis,Case Root Cause Analysis,Role for Request manual intervention or a decision with respect to Product and Service issue Analysis service operation
UpBQ Update details relating to Credit and Fraud Related Issue Analysis,CreditandFraudRelatedIssueAnalysis,Case Root Cause Analysis,Role for Update details relating to Credit and Fraud Related Issue Analysis service operation
UpBQ Update details relating to Operations and Servicing Issue Analysis,OperationsandServicingIssueAnalysis,Case Root Cause Analysis,Role for Update details relating to Operations and Servicing Issue Analysis service operation
UpBQ Update details relating to Product and Service issue Analysis,ProductandServiceIssueAnalysis,Case Root Cause Analysis,Role for Update details relating to Product and Service issue Analysis service operation
Control Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Control Payment Instruction Procedure service operation
Exchange Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Exchange Payment Instruction Procedure service operation
Execute Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Execute Payment Instruction Procedure service operation
Initiate Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Initiate Payment Instruction Procedure service operation
Notify Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Notify Payment Instruction Procedure service operation
Request Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Request Payment Instruction Procedure service operation
Retrieve Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Retrieve Payment Instruction Procedure service operation
Update Payment Instruction Procedure,PaymentInstructionProcedure,Payment Instruction,Role for Update Payment Instruction Procedure service operation
Exchange Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Exchange Agreement Confirmation Workstep service operation
Exchange Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Exchange Compliance Check Workstep service operation
Exchange Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Exchange Payment Instruction Workstep service operation
Execute Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Execute Agreement Confirmation Workstep service operation
Execute Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Execute Compliance Check Workstep service operation
Execute Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Execute Payment Instruction Workstep service operation
Initiate Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Initiate Agreement Confirmation Workstep service operation
Initiate Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Initiate Compliance Check Workstep service operation
Initiate Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Initiate Payment Instruction Workstep service operation
Notify Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Notify Agreement Confirmation Workstep service operation
Notify Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Notify Compliance Check Workstep service operation
Notify Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Notify Payment Instruction Workstep service operation
Request Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Request Agreement Confirmation Workstep service operation
Request Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Request Compliance Check Workstep service operation
Request Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Request Payment Instruction Workstep service operation
Retrieve Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Retrieve Agreement Confirmation Workstep service operation
Retrieve Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Retrieve Compliance Check Workstep service operation
Retrieve Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Retrieve Payment Instruction Workstep service operation
Update Agreement Confirmation Workstep,AgreementConfirmation,Payment Instruction,Role for Update Agreement Confirmation Workstep service operation
Update Compliance Check Workstep,ComplianceCheck,Payment Instruction,Role for Update Compliance Check Workstep service operation
Update Payment Instruction Workstep,PaymentInstruction,Payment Instruction,Role for Update Payment Instruction Workstep service operation
UpCR Update the regulatory reporting set up or schedule,RegulatoryComplianceAdministrativePlan,Regulatory Reporting,Role for Update the regulatory reporting set up or schedule service operation
ReCR Retrieve any details of the regulatory reporting administration,RegulatoryComplianceAdministrativePlan,Regulatory Reporting,Role for Retrieve any details of the regulatory reporting administration service operation
CrBQ Initiate the handling of a regulatory reporting enquiry,RegulatoryComplianceAdministrativePlan,Regulatory Reporting,Role for Initiate the handling of a regulatory reporting enquiry service operation
CaBQ Provide transaction records as required to support regulatory reporting,Authoring,Regulatory Reporting,Role for Provide transaction records as required to support regulatory reporting service operation
ReBQ Retrieve consolidated information for review,Consolidation,Regulatory Reporting,Role for Retrieve consolidated information for review service operation
UpBQ Update or augment consolidated information to support report generation,Consolidation,Regulatory Reporting,Role for Update or augment consolidated information to support report generation service operation
ReBQ Retrieve regulatory reporting detail and reports for review,Authoring,Regulatory Reporting,Role for Retrieve regulatory reporting detail and reports for review service operation
UpBQ Update or augment consolidated information to support enquiry handling,Enquiries,Regulatory Reporting,Role for Update or augment consolidated information to support enquiry handling service operation
CaBQ Provide transaction records as required to support regulatory enquiry,Enquiries,Regulatory Reporting,Role for Provide transaction records as required to support regulatory enquiry service operation
ReBQ Retrieve regulatory enquiry detail and response for review,Enquiries,Regulatory Reporting,Role for Retrieve regulatory enquiry detail and response for review service operation
EvCR Start a legal assessment action,LegalComplianceAssessment,Legal Compliance,Role for Start a legal assessment action service operation
UpCR Update submitted details or content for an on-going legal assessment,LegalComplianceAssessment,Legal Compliance,Role for Update submitted details or content for an on-going legal assessment service operation
RqCR Request a review or adjudication for an assessment,LegalComplianceAssessment,Legal Compliance,Role for Request a review or adjudication for an assessment service operation
ReCR Retrieve details and content from a legal assessment action,LegalComplianceAssessment,Legal Compliance,Role for Retrieve details and content from a legal assessment action service operation
EvCR perform an evaluation of an investment portfolio,ManagedInvestmentPortfolioAnalysis,Investment Portfolio Analysis,Role for perform an evaluation of an investment portfolio service operation
ExCR Execute an automated task for a evaluation,ManagedInvestmentPortfolioAnalysis,Investment Portfolio Analysis,Role for Execute an automated task for a evaluation service operation
RqCR Request manual intervention for an evaluation,ManagedInvestmentPortfolioAnalysis,Investment Portfolio Analysis,Role for Request manual intervention for an evaluation service operation
ReCR Retrieve details about an investment portfolio analysis,ManagedInvestmentPortfolioAnalysis,Investment Portfolio Analysis,Role for Retrieve details about an investment portfolio analysis service operation
ExBQ Execute an automated task for a specific type of analysis,PerformanceAnalysis,Investment Portfolio Analysis,Role for Execute an automated task for a specific type of analysis service operation
RqBQ Request manual intervention for a specific type of analysis,PerformanceAnalysis,Investment Portfolio Analysis,Role for Request manual intervention for a specific type of analysis service operation
ReBQ Retrieve details about a specific type of investment portfolio analysis,PerformanceAnalysis,Investment Portfolio Analysis,Role for Retrieve details about a specific type of investment portfolio analysis service operation
Initiate a correspondent fulfillment arrangement,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Initiate a correspondent fulfillment arrangement service operation
Update correspondent fulfillment arrangement,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Update correspondent fulfillment arrangement service operation
Control the handling of an arrangement,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Control the handling of an arrangement service operation
Retrieve a correspondent fulfillment arrangement,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Retrieve a correspondent fulfillment arrangement service operation
Exchange Correspondent Bank Operating Session,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Exchange Correspondent Bank Operating Session service operation
Execute Correspondent Bank Operating Session,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Execute Correspondent Bank Operating Session service operation
Notify Correspondent Bank Operating Session,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Notify Correspondent Bank Operating Session service operation
Request Correspondent Bank Operating Session,CorrespondentBankOperatingSession,Correspondent Bank Operations,Role for Request Correspondent Bank Operating Session service operation
Update inbound payment transactions,InboundPayments,Correspondent Bank Operations,Role for Update inbound payment transactions service operation
Execute inbound payment transactions from a correspondent,InboundPayments,Correspondent Bank Operations,Role for Execute inbound payment transactions from a correspondent service operation
Retrieve inbound payments,InboundPayments,Correspondent Bank Operations,Role for Retrieve inbound payments service operation
Update outbound payment transactions,OutboundPayments,Correspondent Bank Operations,Role for Update outbound payment transactions service operation
Execute outbound payment transactions to a correspondent,OutboundPayments,Correspondent Bank Operations,Role for Execute outbound payment transactions to a correspondent service operation
Retrieve outbound payments,OutboundPayments,Correspondent Bank Operations,Role for Retrieve outbound payments service operation
Update a clearing and settlement transaction,ClearingandSettlement,Correspondent Bank Operations,Role for Update a clearing and settlement transaction service operation
Exchange a clearing and settlement task,ClearingandSettlement,Correspondent Bank Operations,Role for Exchange a clearing and settlement task service operation
Request clearing and settlement processing for a correspondent,ClearingandSettlement,Correspondent Bank Operations,Role for Request clearing and settlement processing for a correspondent service operation
Retrieve clearing and settlement activity with a correspondent,ClearingandSettlement,Correspondent Bank Operations,Role for Retrieve clearing and settlement activity with a correspondent service operation
Update a reconciliation task,Reconciliation,Correspondent Bank Operations,Role for Update a reconciliation task service operation
Exchange  a reconciliation task,Reconciliation,Correspondent Bank Operations,Role for Exchange a reconciliation task service operation
Request reconciliation processing for a correspondent,Reconciliation,Correspondent Bank Operations,Role for Request reconciliation processing for a correspondent service operation
Retrieve reconciliation activity with a correspondent,Reconciliation,Correspondent Bank Operations,Role for Retrieve reconciliation activity with a correspondent service operation
Exchange Inbound Payments,InboundPayments,Correspondent Bank Operations,Role for Exchange Inbound Payments service operation
Exchange Outbound Payments,OutboundPayments,Correspondent Bank Operations,Role for Exchange Outbound Payments service operation
Execute Reconciliation,Reconciliation,Correspondent Bank Operations,Role for Execute Reconciliation service operation
Initiate Inbound Payments,InboundPayments,Correspondent Bank Operations,Role for Initiate Inbound Payments service operation
Initiate Outbound Payments,OutboundPayments,Correspondent Bank Operations,Role for Initiate Outbound Payments service operation
Notify Inbound Payments,InboundPayments,Correspondent Bank Operations,Role for Notify Inbound Payments service operation
Notify Outbound Payments,OutboundPayments,Correspondent Bank Operations,Role for Notify Outbound Payments service operation
Notify Reconciliation,Reconciliation,Correspondent Bank Operations,Role for Notify Reconciliation service operation
Request Inbound Payments,InboundPayments,Correspondent Bank Operations,Role for Request Inbound Payments service operation
Request Outbound Payments,OutboundPayments,Correspondent Bank Operations,Role for Request Outbound Payments service operation
CoCR Control the processing of Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Control the processing of Corporate Lease Facility service operation
"EcCR Accept, verify, etc. aspects of Corporate Lease Facility processing",CorporateLeaseFacility,Corporate Lease,"Role for Accept, verify, etc. aspects of Corporate Lease Facility processing service operation"
ExCR Execute an available automated action for Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Execute an available automated action for Corporate Lease Facility service operation
InCR Instantiate a new Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Instantiate a new Corporate Lease Facility service operation
ReCR Retrieve details about any aspect of Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Retrieve details about any aspect of Corporate Lease Facility service operation
RqCR Request manual intervention or a decision with respect to Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Request manual intervention or a decision with respect to Corporate Lease Facility service operation
UpCR Update details relating to Corporate Lease Facility,CorporateLeaseFacility,Corporate Lease,Role for Update details relating to Corporate Lease Facility service operation
CoBQ Control the processing of Administer,Administer,Corporate Lease,Role for Control the processing of Administer service operation
"EcBQ Accept, verify, etc. aspects of Administer processing",Administer,Corporate Lease,"Role for Accept, verify, etc. aspects of Administer processing service operation"
"EcBQ Accept, verify, etc. aspects of Fulfill processing",Fulfill,Corporate Lease,"Role for Accept, verify, etc. aspects of Fulfill processing service operation"
ExBQ Execute an available automated action for Fulfill,Fulfill,Corporate Lease,Role for Execute an available automated action for Fulfill service operation
InBQ Instantiate a new Fulfill,Fulfill,Corporate Lease,Role for Instantiate a new Fulfill service operation
ReBQ Retrieve details about any aspect of Administer,Administer,Corporate Lease,Role for Retrieve details about any aspect of Administer service operation
ReBQ Retrieve details about any aspect of Fulfill,Fulfill,Corporate Lease,Role for Retrieve details about any aspect of Fulfill service operation
RqBQ Request manual intervention or a decision with respect to Administer,Administer,Corporate Lease,Role for Request manual intervention or a decision with respect to Administer service operation
RqBQ Request manual intervention or a decision with respect to Fulfill,Fulfill,Corporate Lease,Role for Request manual intervention or a decision with respect to Fulfill service operation
UpBQ Update details relating to Administer,Administer,Corporate Lease,Role for Update details relating to Administer service operation
UpBQ Update details relating to Fulfill,Fulfill,Corporate Lease,Role for Update details relating to Fulfill service operation
PrCR Enable the service resource pool allocation,CustomerServicingResourceAllocation,Contact Routing,Role for Enable the service resource pool allocation service operation
UpCR Update details about the servicing resource pool,CustomerServicingResourceAllocation,Contact Routing,Role for Update details about the servicing resource pool service operation
CaCR Capture servicing resource pool data (e.g. resource status/availability),CustomerServicingResourceAllocation,Contact Routing,Role for Capture servicing resource pool data (e.g. resource status/availability) service operation
ReCR Retrieve details about the servicing resource assignments,CustomerServicingResourceAllocation,Contact Routing,Role for Retrieve details about the servicing resource assignments service operation
PrBQ Request a servicing resource (can be qualification and future booking),Allocation,Contact Routing,Role for Request a servicing resource (can be qualification and future booking) service operation
UpBQ Update details of a servicing resource allocation,Allocation,Contact Routing,Role for Update details of a servicing resource allocation service operation
CaBQ Capture data for an active allocation (e.g. availability),Allocation,Contact Routing,Role for Capture data for an active allocation (e.g. availability) service operation
ReBQ Retrieve details about a servicing resource allocation,Allocation,Contact Routing,Role for Retrieve details about a servicing resource allocation service operation
CrCR Create and invoke the customer campaign portfolio management plan,CustomerCampaignPortfolioManagementPlan,Customer Campaign Management,Role for Create and invoke the customer campaign portfolio management plan service operation
UpBQ Update details of the customer campaign portfolio management plan,CustomerCampaignPortfolioManagementPlan,Customer Campaign Management,Role for Update details of the customer campaign portfolio management plan service operation
RqCR Request manual intervention in the campaign plan,CustomerCampaignPortfolioManagementPlan,Customer Campaign Management,Role for Request manual intervention in the campaign plan service operation
ReCR Retrieve details about the customer campaign portfolio management plan,CustomerCampaignPortfolioManagementPlan,Customer Campaign Management,Role for Retrieve details about the customer campaign portfolio management plan service operation
UpBQ Update details of the market tracking activity,MarketTracking,Customer Campaign Management,Role for Update details of the market tracking activity service operation
ExBQ Execute an automated task for the tracking activity,MarketTracking,Customer Campaign Management,Role for Execute an automated task for the tracking activity service operation
RqBQ Request manual intervention in the market tracking,MarketTracking,Customer Campaign Management,Role for Request manual intervention in the market tracking service operation
ReBQ Retrieve details about the market tracking activity,MarketTracking,Customer Campaign Management,Role for Retrieve details about the market tracking activity service operation
CrBQ Create a performance assessment of the customer campaign portfolio,PerformanceAssessment,Customer Campaign Management,Role for Create a performance assessment of the customer campaign portfolio service operation
UpBQ Update details of a customer campaign portfolio assessment,PerformanceAssessment,Customer Campaign Management,Role for Update details of a customer campaign portfolio assessment service operation
ExBQ Execute an automated action for a performance assessment,PerformanceAssessment,Customer Campaign Management,Role for Execute an automated action for a performance assessment service operation
RqBQ Request manual intervention to a performance assessment,PerformanceAssessment,Customer Campaign Management,Role for Request manual intervention to a performance assessment service operation
ReBQ Retrieve details about customer campaign performance assessment activity,PerformanceAssessment,Customer Campaign Management,Role for Retrieve details about customer campaign performance assessment activity service operation
CrBQ Create customer campaign direction schedules,CampaignDirection,Customer Campaign Management,Role for Create customer campaign direction schedules service operation
UpBQ Update the customer campaign design and execution schedules,CampaignDirection,Customer Campaign Management,Role for Update the customer campaign design and execution schedules service operation
RqBQ Request manual intervention to the schedules,CampaignDirection,Customer Campaign Management,Role for Request manual intervention to the schedules service operation
ReBQ Retrieve details about the campaign design and execution direction and scheduling activity,CampaignDirection,Customer Campaign Management,Role for Retrieve details about the campaign design and execution direction and scheduling activity service operation
Retrieve Service Provider Registration Operating Session,ServiceProviderRegistrationOperatingSession,Service Provider Operations,Role for Retrieve Service Provider Registration Operating Session service operation
CaCR Capture Central Cash Allocation activity or event related information,CentralCashAllocation,Central Cash Handling,Role for Capture Central Cash Allocation activity or event related information service operation
CoCR Control the processing of Central Cash Allocation,CentralCashAllocation,Central Cash Handling,Role for Control the processing of Central Cash Allocation service operation
"EcCR Accept, verify, etc. aspects of Central Cash Allocation processing",CentralCashAllocation,Central Cash Handling,"Role for Accept, verify, etc. aspects of Central Cash Allocation processing service operation"
InCR Instantiate a new Central Cash Allocation,CentralCashAllocation,Central Cash Handling,Role for Instantiate a new Central Cash Allocation service operation
ReCR Retrieve details about any aspect of Central Cash Allocation,CentralCashAllocation,Central Cash Handling,Role for Retrieve details about any aspect of Central Cash Allocation service operation
UpCR Update details relating to Central Cash Allocation,CentralCashAllocation,Central Cash Handling,Role for Update details relating to Central Cash Allocation service operation
CaBQ Capture Projection and Allocation activity or event related information,ProjectionandAllocation,Central Cash Handling,Role for Capture Projection and Allocation activity or event related information service operation
CaBQ Capture Tracking and Allocation activity or event related information,TrackingandAllocation,Central Cash Handling,Role for Capture Tracking and Allocation activity or event related information service operation
CoBQ Control the processing of Projection and Allocation,ProjectionandAllocation,Central Cash Handling,Role for Control the processing of Projection and Allocation service operation
CoBQ Control the processing of Tracking and Allocation,TrackingandAllocation,Central Cash Handling,Role for Control the processing of Tracking and Allocation service operation
"EcBQ Accept, verify, etc. aspects of Projection and Allocation processing",ProjectionandAllocation,Central Cash Handling,"Role for Accept, verify, etc. aspects of Projection and Allocation processing service operation"
"EcBQ Accept, verify, etc. aspects of Tracking and Allocation processing",TrackingandAllocation,Central Cash Handling,"Role for Accept, verify, etc. aspects of Tracking and Allocation processing service operation"
InBQ Instantiate a new Projection and Allocation,ProjectionandAllocation,Central Cash Handling,Role for Instantiate a new Projection and Allocation service operation
InBQ Instantiate a new Tracking and Allocation,TrackingandAllocation,Central Cash Handling,Role for Instantiate a new Tracking and Allocation service operation
ReBQ Retrieve details about any aspect of Projection and Allocation,ProjectionandAllocation,Central Cash Handling,Role for Retrieve details about any aspect of Projection and Allocation service operation
ReBQ Retrieve details about any aspect of Tracking and Allocation,TrackingandAllocation,Central Cash Handling,Role for Retrieve details about any aspect of Tracking and Allocation service operation
UpBQ Update details relating to Projection and Allocation,ProjectionandAllocation,Central Cash Handling,Role for Update details relating to Projection and Allocation service operation
UpBQ Update details relating to Tracking and Allocation,TrackingandAllocation,Central Cash Handling,Role for Update details relating to Tracking and Allocation service operation
Capture Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Capture Internal Bank Account Facility service operation
Control Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Control Internal Bank Account Facility service operation
Notify Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Notify Internal Bank Account Facility service operation
Initiate Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Initiate Internal Bank Account Facility service operation
Update Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Update Internal Bank Account Facility service operation
Retrieve Internal Bank Account Facility,InternalBankAccountFacility,Internal Bank Account,Role for Retrieve Internal Bank Account Facility service operation
Execute Authorization of Booking,BookingAuthorization,Internal Bank Account,Role for Execute Authorization of Booking service operation
CrCR Create/initiate a system development project,ITSystemDevelopment,System Development,Role for Create/initiate a system development project service operation
UpCR Update details of an active system development project,ITSystemDevelopment,System Development,Role for Update details of an active system development project service operation
RqCR Request manual intervention in a project,ITSystemDevelopment,System Development,Role for Request manual intervention in a project service operation
ReCR Retrieve details/reports about a system development project,ITSystemDevelopment,System Development,Role for Retrieve details/reports about a system development project service operation
UpBQ Update aspects of the functional specification,FunctionalSpecification,System Development,Role for Update aspects of the functional specification service operation
CaBQ Capture details relating to the functional specification activity,FunctionalSpecification,System Development,Role for Capture details relating to the functional specification activity service operation
RqBQ Request manual intervention to the functional specification,FunctionalSpecification,System Development,Role for Request manual intervention to the functional specification service operation
ReBQ Retrieve details about the functional specification tasks,FunctionalSpecification,System Development,Role for Retrieve details about the functional specification tasks service operation
UpBQ Update aspects of the technical specification,TechnicalSpecification,System Development,Role for Update aspects of the technical specification service operation
CaBQ Capture details relating to the technical specification activity,TechnicalSpecification,System Development,Role for Capture details relating to the technical specification activity service operation
RqBQ Request manual intervention to the technical specification,TechnicalSpecification,System Development,Role for Request manual intervention to the technical specification service operation
ReBQ Retrieve details about the technical specification tasks,TechnicalSpecification,System Development,Role for Retrieve details about the technical specification tasks service operation
UpBQ Update aspects of the software and data specification,SoftwareandDataSpecification,System Development,Role for Update aspects of the software and data specification service operation
CaBQ Capture details relating to the software and data specification activity,SoftwareandDataSpecification,System Development,Role for Capture details relating to the software and data specification activity service operation
RqBQ Request manual intervention to the software and data specification,SoftwareandDataSpecification,System Development,Role for Request manual intervention to the software and data specification service operation
ReBQ Retrieve details about the software and data specification tasks,SoftwareandDataSpecification,System Development,Role for Retrieve details about the software and data specification tasks service operation
UpBQ Update aspects of the testing specification,TestingSpecification,System Development,Role for Update aspects of the testing specification service operation
CaBQ Capture details relating to the testing specification activity,TestingSpecification,System Development,Role for Capture details relating to the testing specification activity service operation
RqBQ Request manual intervention to the testing specification,TestingSpecification,System Development,Role for Request manual intervention to the testing specification service operation
ReBQ Retrieve details about the testing specification tasks,TestingSpecification,System Development,Role for Retrieve details about the testing specification tasks service operation
UpBQ Update aspects of the usage specification,UsageSpecification,System Development,Role for Update aspects of the usage specification service operation
CaBQ Capture details relating to the usage specification activity,UsageSpecification,System Development,Role for Capture details relating to the usage specification activity service operation
RqBQ Request manual intervention to the usage specification,UsageSpecification,System Development,Role for Request manual intervention to the usage specification service operation
ReBQ Retrieve details about the usage specification tasks,UsageSpecification,System Development,Role for Retrieve details about the usage specification tasks service operation
Control Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Control Program Trading Operating Session service operation
Exchange Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Exchange Program Trading Operating Session service operation
Execute Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Execute Program Trading Operating Session service operation
Initiate Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Initiate Program Trading Operating Session service operation
Notify Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Notify Program Trading Operating Session service operation
Request Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Request Program Trading Operating Session service operation
Retrieve Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Retrieve Program Trading Operating Session service operation
Update Program Trading Operating Session,ProgramTradingOperatingSession,Program Trading,Role for Update Program Trading Operating Session service operation
Exchange Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Exchange Program Trade Execution Function service operation
Exchange Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Exchange Program Traded Portfolio Algorithm Function service operation
Exchange Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Exchange Program Traded Portfolio Maintenance Function service operation
Execute Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Execute Program Trade Execution Function service operation
Execute Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Execute Program Traded Portfolio Algorithm Function service operation
Execute Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Execute Program Traded Portfolio Maintenance Function service operation
